name;description;resolution
bio_1;Annual Mean Temperature;30 arcsec
bio_2;Mean Diurnal Range (Mean of monthly (max temp - min temp));30 arcsec
bio_3;Isothermality (bio_2/bio_7) (* 100);30 arcsec
bio_4;Temperature Seasonality (standard deviation * 100);30 arcsec
bio_5;Max Temperature of Warmest Month;30 arcsec
bio_6;Min Temperature of Coldest Month;30 arcsec
bio_7;Temperature Annual Range (bio_5-bio_6);30 arcsec
bio_8;Mean Temperature of Wettest Quarter;30 arcsec
bio_9;Mean Temperature of Driest Quarter;30 arcsec
bio_10;Mean Temperature of Warmest Quarter;30 arcsec
bio_11;Mean Temperature of Coldest Quarter;30 arcsec
bio_12;Annual Precipitation;30 arcsec
bio_13;Precipitation of Wettest Month;30 arcsec
bio_14;Precipitation of Driest Month;30 arcsec
bio_15;Precipitation Seasonality (Coefficient of Variation);30 arcsec
bio_16;Precipitation of Wettest Quarter;30 arcsec
bio_17;Precipitation of Driest Quarter;30 arcsec
bio_18;Precipitation of Warmest Quarter;30 arcsec
bio_19;Precipitation of Coldest Quarter;30 arcsec
orcdrc;Soil Organic Carbon Content (g/kg at 15cm depth);250 m
phihox;Ph x 10 in H20 (at 15cm depth);250 m
cecsol;Cation Exchange Capacity of Soil in cmolc/kg 15cm depth ;250 m
bdticm;Absolute Depth to Bedrock in cm;250 m
clyppt;Clay (0-2 micro meter) Mass Fraction at 15cm depth;250 m
sltppt;Silt Mass Fraction at 15cm depth;250 m
sndppt;Sand Mass Fraction at 15cm depth;250 m
bldfie;Bulk Density in kg/m3 at 15cm depth;250 m
