landcover_code;suggested_landcover_code;suggested_landcover_label
0;0;Missing Data
1;11;Cultivated Crops
2;11;Cultivated Crops
3;6;Broad-leaved Forest
4;7;Coniferous Forest
5;9;Natural Grassland/Herbaceous
6;8;Shrub/Scrub/Woodie Moorlands
7;5;Developed High Intensity
8;4;Developed Low Intensity
9;5;Developed High Intensity
10;4;Developed Low Intensity
11;3;Barren Land (Rock/Sand/Clay)
12;3;Barren Land (Rock/Sand/Clay)
13;1;Water
14;2;Ice and Snow
15;10;Pasture/Hay/Intensive Grasslands
16;11;Cultivated Crops
17;11;Cultivated Crops
18;1;Water
19;2;Ice and Snow
20;4;Developed Low Intensity
21;4;Developed Low Intensity
22;5;Developed High Intensity
23;5;Developed High Intensity
24;3;Barren Land (Rock/Sand/Clay)
25;6;Broad-leaved Forest
26;7;Coniferous Forest
27;6;Broad-leaved Forest
28;8;Shrub/Scrub/Woodie Moorlands
29;9;Natural Grassland/Herbaceous
30;10;Pasture/Hay/Intensive Grasslands
31;11;Cultivated Crops
32;12;Woody Wetlands
33;13;Emergent Herbaceous Wetlands
